strike,type,premium
39.5,P,0.27
40.0,P,0.28
40.5,P,0.3
41.0,C,22.95
41.0,P,0.32
41.5,P,0.33
42.0,P,0.35
42.5,P,0.37
43.0,P,0.39
43.5,P,0.41
44.0,P,0.44
44.5,P,0.47
45.0,P,0.5
45.5,P,0.53
46.0,P,0.57
46.5,P,0.6
47.0,P,0.63
47.5,C,16.84
47.5,P,0.69
48.0,P,0.74
48.5,C,15.95
48.5,P,0.79
49.0,P,0.83
49.5,P,0.91
50.0,C,14.65
50.0,P,0.93
50.5,P,1.05
51.0,P,1.11
51.5,C,13.39
51.5,P,1.22
52.0,C,12.99
52.0,P,1.31
52.5,C,12.59
52.5,P,1.41
53.0,C,12.2
53.0,P,1.51
53.5,P,1.62
54.0,C,11.43
54.0,P,1.74
54.5,P,1.87
55.0,C,10.7
55.0,P,1.93
55.5,C,10.34
55.5,P,2.14
56.0,C,10.0
56.0,P,2.29
56.5,C,9.66
56.5,P,2.44
57.0,C,9.33
57.0,P,2.61
57.5,C,9.0
57.5,P,2.78
58.0,C,8.69
58.0,P,2.96
58.5,C,8.38
58.5,P,3.15
59.0,C,8.08
59.0,P,3.35
59.5,C,7.79
59.5,P,3.55
60.0,C,7.51
60.0,P,3.66
60.5,C,7.24
60.5,P,3.99
61.0,C,6.97
61.0,P,4.22
61.5,C,6.71
61.5,P,4.45
62.0,C,6.46
62.0,P,4.7
62.5,C,6.22
62.5,P,4.96
63.0,C,5.99
63.0,P,5.22
63.5,C,5.77
63.5,P,5.49
64.0,C,5.59
64.0,P,5.77
64.5,C,5.34
64.5,P,6.28
65.0,C,5.14
65.0,P,6.35
65.5,C,4.96
65.5,P,6.88
66.0,C,4.76
66.0,P,7.21
66.5,C,4.58
66.5,P,7.28
67.0,C,4.41
67.0,P,7.6
67.5,C,4.25
67.5,P,7.93
68.0,C,4.09
68.0,P,8.27
68.5,C,3.94
68.5,P,8.61
69.0,C,3.79
69.0,P,8.97
69.5,C,3.82
69.5,P,9.32
70.0,C,3.71
70.0,P,9.68
70.5,C,3.4
70.5,P,10.05
71.0,C,3.32
71.0,P,10.43
71.5,C,3.16
71.5,P,10.81
72.0,C,3.05
72.0,P,11.19
72.5,C,2.94
72.5,P,11.58
73.0,C,2.84
73.0,P,11.98
73.5,C,2.74
73.5,P,12.37
74.0,C,2.65
74.0,P,12.78
74.5,C,2.56
74.5,P,13.19
75.0,C,2.48
75.0,P,13.6
75.5,C,2.4
75.5,P,14.01
76.0,C,2.32
76.0,P,14.43
76.5,C,2.25
76.5,P,14.86
77.0,C,2.18
77.0,P,15.28
77.5,C,2.11
77.5,P,15.71
78.0,C,2.05
78.0,P,16.14
78.5,C,1.99
78.5,P,16.58
79.0,C,1.93
79.5,C,1.87
79.5,P,17.46
80.0,C,1.91
80.0,P,17.9
80.5,C,1.77
80.5,P,18.34
81.0,C,1.72
81.5,C,1.69
81.5,P,19.24
82.0,C,1.67
82.0,P,19.69
82.5,C,1.58
83.0,C,1.54
83.5,C,1.5
84.0,C,1.46
84.5,C,1.43
84.5,P,21.98
85.0,C,1.47
85.0,P,22.44
85.5,C,1.36
85.5,P,22.9
86.0,C,1.32
86.0,P,23.36
86.5,C,1.29
87.0,C,1.26
87.5,C,1.23
88.0,C,1.21
88.5,C,1.18
89.0,C,1.15
