strike,type,premium
40.0,C,24.47
40.0,P,0.04
40.5,P,0.04
41.0,P,0.04
41.5,P,0.05
42.0,P,0.05
42.5,C,21.98
42.5,P,0.05
43.0,C,21.48
43.0,P,0.05
43.5,P,0.06
44.0,P,0.06
44.5,P,0.06
45.0,C,19.49
45.0,P,0.06
45.5,P,0.07
46.0,C,18.5
46.0,P,0.08
46.5,P,0.08
47.0,P,0.08
47.5,C,17.02
47.5,P,0.09
48.0,C,16.52
48.0,P,0.08
48.5,C,16.03
48.5,P,0.09
49.0,C,15.53
49.0,P,0.1
49.5,P,0.11
50.0,C,14.55
50.0,P,0.12
50.5,C,14.06
50.5,P,0.12
51.0,C,13.57
51.0,P,0.13
51.5,P,0.14
52.0,C,12.6
52.0,P,0.17
52.5,C,12.11
52.5,P,0.17
53.0,C,11.63
53.0,P,0.19
53.5,C,11.15
53.5,P,0.21
54.0,C,10.68
54.0,P,0.25
54.5,C,10.2
54.5,P,0.26
55.0,C,9.74
55.0,P,0.28
55.5,C,9.25
55.5,P,0.32
56.0,C,9.62
56.0,P,0.37
56.5,C,8.38
56.5,P,0.43
57.0,C,7.95
57.0,P,0.52
57.5,C,7.53
57.5,P,0.53
58.0,C,7.4
58.0,P,0.67
58.5,C,6.72
58.5,P,0.69
59.0,C,6.34
59.0,P,0.92
59.5,C,6.32
59.5,P,0.96
60.0,C,5.71
60.0,P,1.09
60.5,C,5.3
60.5,P,1.35
61.0,C,4.93
61.0,P,1.47
61.5,C,5.48
61.5,P,1.67
62.0,C,4.91
62.0,P,1.81
62.5,C,4.65
62.5,P,2.11
63.0,C,4.4
63.0,P,2.5
63.5,C,3.93
63.5,P,2.49
64.0,C,4.23
64.0,P,3.01
64.5,C,3.51
64.5,P,3.33
65.0,C,3.21
65.0,P,3.5
65.5,C,3.0
65.5,P,3.77
66.0,C,2.76
66.0,P,4.41
66.5,C,3.1
66.5,P,4.64
67.0,C,2.68
67.0,P,4.95
67.5,C,2.75
67.5,P,5.36
68.0,C,2.3
68.0,P,5.74
68.5,C,2.19
68.5,P,6.13
69.0,C,1.99
69.0,P,6.57
69.5,C,1.95
69.5,P,6.92
70.0,C,1.85
70.0,P,6.89
70.5,C,1.8
70.5,P,7.48
71.0,C,1.73
71.0,P,7.55
71.5,C,1.63
71.5,P,8.58
72.0,C,1.46
72.0,P,8.78
72.5,C,1.49
72.5,P,9.44
73.0,C,1.41
73.0,P,9.95
73.5,C,1.34
73.5,P,10.31
74.0,C,1.37
74.0,P,10.76
74.5,C,1.19
74.5,P,11.2
75.0,C,1.17
75.0,P,11.73
75.5,C,1.33
75.5,P,12.11
76.0,C,1.1
76.0,P,12.56
76.5,C,1.25
76.5,P,13.02
77.0,C,1.08
77.0,P,13.48
77.5,C,1.11
78.0,C,0.93
78.0,P,14.4
78.5,C,1.05
78.5,P,14.87
79.0,C,1.12
79.0,P,15.34
79.5,C,0.99
79.5,P,15.81
80.0,C,0.78
80.0,P,16.28
80.5,C,0.74
80.5,P,16.75
81.0,C,0.73
81.0,P,17.23
81.5,C,0.85
81.5,P,17.7
82.0,C,0.75
82.0,P,18.18
82.5,C,0.72
83.0,C,0.75
83.0,P,19.14
83.5,C,0.76
83.5,P,19.61
84.0,C,0.6
84.5,C,0.59
84.5,P,20.58
85.0,C,0.56
85.5,C,0.54
86.0,C,0.66
86.5,C,0.52
86.5,P,22.51
87.0,C,0.49
87.5,C,0.5
88.0,C,0.52
88.0,P,23.96
88.5,C,0.59
88.5,P,24.45
89.0,C,0.49
89.0,P,24.93
89.5,C,0.48
89.5,P,25.42
