strike,type,premium
37.0,P,0.27
37.5,P,0.29
38.0,P,0.3
39.0,P,0.34
39.5,P,0.35
40.0,P,0.38
40.5,P,0.4
41.0,P,0.42
42.0,P,0.46
42.5,P,0.5
43.0,P,0.53
43.5,P,0.56
44.0,C,19.92
44.0,P,0.6
44.5,P,0.62
45.0,P,0.67
46.0,P,0.77
46.5,P,0.82
47.0,P,0.87
47.5,P,0.93
48.0,P,0.99
48.5,P,1.06
49.0,P,1.1
49.5,P,1.21
50.0,C,14.65
50.0,P,1.29
50.5,C,14.24
50.5,P,1.39
51.0,C,13.98
51.0,P,1.45
51.5,C,13.45
51.5,P,1.58
52.0,C,13.06
52.0,P,1.65
52.5,C,12.68
52.5,P,1.81
53.0,C,12.3
53.0,P,1.93
53.5,P,2.05
54.0,C,11.57
54.0,P,2.19
54.5,C,11.22
54.5,P,2.33
55.0,C,10.87
55.0,P,2.47
55.5,C,10.53
55.5,P,2.63
56.0,C,10.2
56.0,P,2.72
56.5,C,9.87
56.5,P,2.96
57.0,C,9.55
57.0,P,3.14
57.5,C,9.42
57.5,P,3.35
58.0,C,8.94
58.0,P,3.5
58.5,C,8.64
58.5,P,3.7
59.0,C,8.35
59.0,P,3.91
59.5,C,8.07
59.5,P,4.12
60.0,C,7.79
60.0,P,4.34
60.5,C,7.52
60.5,P,4.57
61.0,C,7.26
61.0,P,4.8
61.5,C,7.01
61.5,P,5.04
62.0,C,6.76
62.0,P,5.29
62.5,C,6.52
63.0,C,6.29
63.0,P,5.81
63.5,C,6.03
63.5,P,6.27
64.0,C,5.91
64.0,P,6.35
64.5,C,5.64
64.5,P,6.63
65.0,C,5.71
65.0,P,6.92
65.5,C,5.24
65.5,P,7.23
66.0,C,5.05
66.0,P,7.53
66.5,C,4.87
67.0,C,4.66
67.0,P,8.16
67.5,C,4.53
67.5,P,8.49
68.0,C,4.36
68.0,P,8.82
68.5,C,4.43
69.0,C,4.06
69.5,C,3.91
69.5,P,9.85
70.0,C,3.81
70.0,P,10.21
70.5,C,3.64
71.0,C,3.51
71.0,P,10.94
71.5,C,3.39
71.5,P,11.31
72.0,C,3.27
72.0,P,11.69
72.5,C,3.16
72.5,P,12.07
73.0,C,3.06
73.5,C,2.95
74.0,C,2.85
74.5,C,2.76
74.5,P,13.65
75.0,C,2.73
75.0,P,14.06
75.5,C,2.59
75.5,P,14.47
76.0,C,2.5
76.0,P,14.88
76.5,C,2.42
76.5,P,15.3
77.0,C,2.35
77.0,P,15.72
77.5,C,2.28
77.5,P,16.14
78.0,C,2.21
78.0,P,16.56
78.5,C,2.14
78.5,P,16.99
79.0,C,2.08
79.0,P,17.43
79.5,C,2.13
79.5,P,17.81
80.0,C,1.96
80.0,P,18.3
80.5,C,1.9
80.5,P,18.74
81.0,C,1.85
81.0,P,19.18
81.5,C,1.79
81.5,P,19.62
82.0,C,1.75
82.0,P,20.07
82.5,C,1.7
82.5,P,20.52
83.0,C,1.65
83.0,P,20.97
83.5,C,1.6
83.5,P,21.42
84.0,C,1.57
84.5,C,1.53
84.5,P,22.33
85.0,C,1.49
85.5,C,1.45
86.0,C,1.42
87.0,C,1.35
87.5,C,1.32
88.5,C,1.26
89.0,C,1.23
