strike,type,premium
39.5,P,0.17
40.0,C,24.12
40.0,P,0.17
40.5,P,0.19
41.0,P,0.21
41.5,P,0.21
42.0,P,0.23
42.5,P,0.23
43.0,P,0.25
43.5,P,0.26
44.0,P,0.27
44.5,P,0.29
45.0,C,19.25
45.0,P,0.31
45.5,P,0.33
46.0,C,18.29
46.0,P,0.35
46.5,P,0.36
47.0,P,0.4
47.5,C,16.87
47.5,P,0.43
48.0,C,16.41
48.0,P,0.46
48.5,P,0.49
49.0,P,0.53
49.5,P,0.57
50.0,C,14.57
50.0,P,0.59
50.5,C,14.13
50.5,P,0.68
51.0,C,13.69
51.0,P,0.7
51.5,P,0.76
52.0,C,12.73
52.0,P,0.81
52.5,C,12.55
52.5,P,0.96
53.0,C,11.98
53.0,P,1.01
53.5,P,1.05
54.0,C,11.16
54.0,P,1.2
54.5,C,10.77
54.5,P,1.29
55.0,C,10.38
55.0,P,1.37
55.5,C,10.01
55.5,P,1.52
56.0,C,9.64
56.0,P,1.67
56.5,C,9.28
56.5,P,1.78
57.0,C,9.13
57.0,P,1.96
57.5,C,8.58
57.5,P,2.15
58.0,C,8.62
58.0,P,2.25
58.5,C,8.38
58.5,P,2.45
59.0,C,8.06
59.0,P,2.66
59.5,C,7.76
59.5,P,2.74
60.0,C,7.47
60.0,P,2.99
60.5,C,7.19
60.5,P,3.23
61.0,C,6.92
61.0,P,3.24
61.5,C,6.65
61.5,P,3.69
62.0,C,6.42
62.0,P,3.94
62.5,C,6.15
62.5,P,4.19
63.0,C,5.65
63.0,P,4.42
63.5,C,5.64
63.5,P,4.73
64.0,C,5.6
64.0,P,4.88
64.5,C,4.85
64.5,P,5.24
65.0,C,5.19
65.0,P,5.38
65.5,C,4.99
65.5,P,5.92
66.0,C,4.61
66.0,P,6.13
66.5,C,4.12
66.5,P,6.56
67.0,C,3.99
67.0,P,6.77
67.5,C,3.8
67.5,P,7.24
68.0,C,3.8
68.0,P,7.59
68.5,C,3.85
68.5,P,7.94
69.0,C,3.38
69.5,C,3.25
69.5,P,8.67
70.0,C,3.1
70.0,P,8.92
70.5,C,3.01
70.5,P,9.43
71.0,C,3.15
71.0,P,9.81
71.5,C,3.1
72.0,C,2.74
72.0,P,10.6
72.5,C,2.84
72.5,P,11.0
73.0,C,2.65
73.5,C,2.7
74.0,C,2.38
74.0,P,12.23
74.5,C,2.48
75.0,C,2.45
75.0,P,12.87
75.5,C,2.11
76.0,C,2.03
76.5,C,1.98
77.0,C,1.92
77.5,C,1.86
77.5,P,15.23
78.0,C,2.05
78.0,P,15.67
78.5,C,1.75
79.0,C,1.7
79.5,C,1.65
80.0,C,1.63
80.0,P,17.46
80.5,C,1.56
80.5,P,17.91
81.0,C,1.56
81.5,C,1.48
81.5,P,18.82
82.0,C,1.46
82.5,C,1.43
82.5,P,19.74
83.0,C,1.36
83.0,P,20.2
83.5,C,1.33
83.5,P,20.66
84.0,C,1.43
84.5,C,1.46
84.5,P,21.59
85.0,C,1.26
85.0,P,22.06
85.5,C,1.39
85.5,P,22.53
86.0,C,1.27
86.5,C,1.24
87.0,C,1.3
87.0,P,23.94
87.5,C,1.09
87.5,P,24.41
88.0,C,1.07
88.5,C,1.04
88.5,P,25.36
89.0,C,1.18
