strike,type,premium
40.0,C,24.3
40.0,P,0.1
40.5,P,0.1
41.0,P,0.11
41.5,P,0.12
42.0,P,0.13
42.5,P,0.12
43.0,C,21.33
43.0,P,0.14
43.5,P,0.14
44.0,P,0.15
44.5,P,0.16
45.0,P,0.18
45.5,P,0.18
46.0,P,0.2
46.5,P,0.2
47.0,P,0.22
47.5,P,0.24
48.0,C,16.45
48.0,P,0.25
48.5,P,0.27
49.0,P,0.27
49.5,P,0.31
50.0,C,14.54
50.0,P,0.32
50.5,C,14.07
50.5,P,0.38
51.0,P,0.37
51.5,C,13.14
51.5,P,0.42
52.0,C,12.68
52.0,P,0.47
52.5,C,12.23
52.5,P,0.51
53.0,C,11.78
53.0,P,0.55
53.5,P,0.63
54.0,C,10.9
54.0,P,0.67
54.5,C,10.48
54.5,P,0.73
55.0,C,10.06
55.0,P,0.78
55.5,C,9.65
55.5,P,0.9
56.0,C,9.25
56.0,P,1.02
56.5,C,8.87
56.5,P,1.08
57.0,C,8.98
57.0,P,1.24
57.5,C,8.12
57.5,P,1.32
58.0,C,8.05
58.0,P,1.46
58.5,C,7.43
58.5,P,1.7
59.0,C,7.61
59.0,P,1.86
59.5,C,6.84
59.5,P,1.95
60.0,C,6.48
60.0,P,2.23
60.5,C,6.19
60.5,P,2.45
61.0,C,6.31
61.0,P,2.61
61.5,C,6.1
61.5,P,2.83
62.0,C,5.84
62.0,P,3.03
62.5,C,5.14
62.5,P,3.33
63.0,C,5.63
63.0,P,3.56
63.5,C,4.67
63.5,P,3.79
64.0,C,4.46
64.0,P,4.25
64.5,C,4.23
64.5,P,4.49
65.0,C,4.19
65.0,P,4.62
65.5,C,4.21
65.5,P,5.15
66.0,C,3.88
66.0,P,5.29
66.5,C,4.12
66.5,P,5.47
67.0,C,4.01
67.0,P,6.16
67.5,C,3.65
67.5,P,6.46
68.0,C,3.35
68.0,P,6.82
68.5,C,2.97
68.5,P,7.19
69.0,C,2.85
69.0,P,7.56
69.5,C,2.73
69.5,P,7.95
70.0,C,2.67
70.0,P,8.33
70.5,C,2.52
70.5,P,8.73
71.0,C,2.46
71.0,P,9.13
71.5,C,2.33
71.5,P,9.53
72.0,C,2.59
72.0,P,9.94
72.5,C,2.2
72.5,P,10.36
73.0,C,2.14
73.0,P,10.78
73.5,C,2.0
74.0,C,2.16
74.0,P,11.63
74.5,C,2.09
74.5,P,12.06
75.0,C,1.93
75.0,P,12.2
75.5,C,1.91
75.5,P,12.93
76.0,C,1.68
76.0,P,13.37
76.5,C,1.63
77.0,C,1.81
77.5,C,1.55
78.0,C,1.52
78.5,C,1.46
79.0,C,1.39
79.5,C,1.55
80.0,C,1.55
80.0,P,16.97
80.5,C,1.51
81.0,C,1.23
81.0,P,17.9
81.5,C,1.35
81.5,P,18.36
82.0,C,1.17
82.5,C,1.26
83.0,C,1.1
83.5,C,1.07
83.5,P,20.23
84.0,C,1.25
84.5,C,1.1
85.0,C,0.98
85.5,C,0.97
86.0,C,0.95
86.5,C,0.92
87.0,C,0.9
87.5,C,0.98
88.0,C,0.86
88.5,C,0.84
88.5,P,24.97
89.0,C,0.82
89.0,P,25.45
89.5,C,0.8
89.5,P,25.93
