strike,type,premium
33.0,P,0.36
34.0,P,0.4
35.0,P,0.44
35.5,P,0.46
36.0,P,0.49
36.5,P,0.52
37.0,P,0.54
37.5,P,0.57
38.0,P,0.61
38.5,P,0.64
39.0,P,0.67
39.5,P,0.71
40.0,P,0.75
41.0,P,0.84
41.5,P,0.89
42.0,P,0.94
42.5,P,1.0
43.0,P,1.06
43.5,P,1.12
44.0,P,1.18
44.5,P,1.25
45.0,P,1.33
45.5,P,1.41
46.0,P,1.49
47.0,P,1.67
47.5,P,1.77
48.0,C,15.9
48.0,P,1.87
49.0,P,2.09
50.0,C,14.39
50.0,P,2.32
51.0,C,13.67
51.0,P,2.59
52.0,C,12.97
52.0,P,2.88
52.5,P,3.03
53.0,P,3.15
54.0,C,11.63
54.0,P,3.51
54.5,P,3.68
55.0,C,10.99
55.0,P,3.75
55.5,C,10.68
55.5,P,4.03
56.0,C,10.37
56.0,P,4.22
56.5,C,10.07
56.5,P,4.41
57.0,C,9.77
57.0,P,4.58
57.5,C,9.48
57.5,P,4.8
58.0,C,9.55
58.0,P,5.01
58.5,C,8.92
58.5,P,5.22
59.0,C,8.64
59.0,P,5.43
59.5,C,8.37
59.5,P,5.65
60.0,C,8.35
60.0,P,5.88
60.5,C,7.85
60.5,P,6.11
61.0,C,7.6
61.0,P,6.35
61.5,C,7.36
61.5,P,6.58
62.0,C,7.12
62.0,P,6.58
62.5,C,7.1
62.5,P,7.11
63.0,C,6.66
63.0,P,7.38
63.5,C,6.44
63.5,P,7.65
64.0,C,6.23
64.0,P,7.93
64.5,C,6.02
64.5,P,8.21
65.0,C,5.82
65.0,P,8.5
65.5,C,5.63
65.5,P,8.8
66.0,C,5.44
66.0,P,9.1
66.5,C,5.25
66.5,P,9.41
67.0,C,5.08
67.0,P,9.72
67.5,C,5.15
67.5,P,10.04
68.0,C,4.74
68.0,P,10.37
68.5,C,4.58
69.0,C,4.43
69.0,P,11.03
69.5,C,4.28
69.5,P,11.38
70.0,C,4.21
70.0,P,11.72
70.5,C,4.17
71.0,C,3.86
71.0,P,12.43
71.5,C,3.73
71.5,P,12.8
72.0,C,3.61
72.0,P,13.16
72.5,C,3.49
73.0,C,3.37
73.5,C,3.26
74.0,C,3.35
74.5,C,3.05
75.0,C,3.05
75.0,P,15.46
76.0,C,2.77
76.5,C,2.68
77.0,C,2.6
77.5,C,2.52
78.0,C,2.44
78.5,C,2.46
79.0,C,2.3
79.5,C,2.23
80.0,C,2.17
80.0,P,19.61
80.5,C,2.11
81.0,C,2.05
81.5,C,2.0
82.0,C,1.94
82.5,C,1.89
83.0,C,1.85
83.5,C,1.8
84.5,C,1.71
85.0,C,1.67
85.0,P,24.05
85.5,C,1.64
86.0,C,1.6
86.5,C,1.56
87.0,C,1.53
87.5,C,1.49
88.0,C,1.46
