strike,type,premium
38.0,P,0.38
39.0,P,0.43
39.5,P,0.45
40.0,C,23.44
40.0,P,0.48
40.5,P,0.51
41.0,P,0.54
41.5,P,0.55
42.0,P,0.6
42.5,P,0.64
43.0,P,0.67
43.5,C,20.18
43.5,P,0.72
44.0,P,0.76
44.5,P,0.81
45.0,C,18.83
45.0,P,0.84
45.5,P,0.91
46.0,C,17.95
46.0,P,0.97
46.5,C,17.52
46.5,P,1.03
47.0,P,1.1
47.5,P,1.17
48.0,P,1.25
48.5,P,1.33
49.0,P,1.41
49.5,C,15.01
49.5,P,1.47
50.0,C,14.61
50.0,P,1.6
50.5,P,1.71
51.0,P,1.82
51.5,P,1.93
52.0,C,13.08
52.0,P,2.01
52.5,P,2.18
53.0,P,2.31
53.5,C,12.0
53.5,P,2.45
54.0,P,2.58
54.5,P,2.69
55.0,C,10.97
55.0,P,2.89
55.5,C,10.64
55.5,P,3.07
56.0,C,10.32
56.0,P,3.24
56.5,C,10.0
56.5,P,3.42
57.0,C,9.69
57.0,P,3.6
57.5,C,9.39
57.5,P,3.79
58.0,C,9.09
58.0,P,3.99
58.5,C,8.8
58.5,P,4.19
59.0,C,8.51
59.0,P,4.4
59.5,C,8.23
59.5,P,4.61
60.0,C,7.96
60.0,P,4.83
60.5,C,7.69
60.5,P,5.06
61.0,C,7.44
61.0,P,5.3
61.5,C,7.18
61.5,P,5.54
62.0,C,6.94
62.0,P,5.79
62.5,C,6.7
62.5,P,6.04
63.0,C,6.47
63.0,P,6.3
63.5,C,6.24
63.5,P,6.57
64.0,C,6.03
64.0,P,6.69
64.5,C,6.22
64.5,P,7.13
65.0,C,5.61
65.0,P,7.42
65.5,C,5.41
65.5,P,7.71
66.0,C,5.22
66.0,P,8.01
66.5,C,5.04
66.5,P,8.32
67.0,C,4.86
67.0,P,8.64
67.5,C,4.68
67.5,P,8.96
68.0,C,4.52
68.0,P,9.28
68.5,C,4.36
69.0,C,4.2
69.5,C,4.06
69.5,P,10.3
70.0,C,3.91
70.0,P,10.65
70.5,C,3.78
70.5,P,11.01
71.0,C,3.65
71.0,P,11.37
71.5,C,3.79
72.0,C,3.4
72.5,C,3.29
73.0,C,3.17
73.5,C,3.07
73.5,P,13.27
74.0,C,2.97
74.5,C,2.87
75.0,C,2.91
75.0,P,14.46
75.5,C,2.69
75.5,P,14.87
76.0,C,2.61
76.5,C,2.53
76.5,P,15.69
77.0,C,2.45
77.5,C,2.44
77.5,P,16.53
78.0,C,2.3
78.5,C,2.23
79.0,C,2.17
79.5,C,2.11
79.5,P,18.24
80.0,C,2.05
80.0,P,18.42
80.5,C,1.99
81.0,C,1.93
81.0,P,19.55
81.5,C,1.88
82.0,C,1.83
82.0,P,20.44
83.0,C,1.74
83.0,P,21.33
83.5,C,1.69
84.0,C,1.79
85.0,C,1.66
85.0,P,23.15
85.5,C,1.53
86.0,C,1.49
87.0,C,1.42
87.5,C,1.39
88.0,C,1.36
89.0,C,1.3
89.5,C,1.27
90.0,C,1.24
90.0,P,27.78
