strike,type,premium
32.0,P,0.24
33.0,P,0.27
34.0,P,0.3
35.0,P,0.33
36.0,P,0.37
36.5,P,0.39
39.0,P,0.51
39.5,P,0.54
40.0,P,0.57
41.0,P,0.64
41.5,P,0.67
42.0,P,0.7
42.5,P,0.76
43.0,P,0.81
43.5,P,0.84
44.0,P,0.89
44.5,P,0.97
45.0,P,1.03
45.5,P,1.09
46.5,P,1.23
47.0,P,1.31
47.5,P,1.39
48.0,P,1.48
48.5,P,1.57
49.0,C,15.32
50.0,C,14.54
50.0,P,1.88
50.5,P,1.99
51.0,C,13.79
51.0,P,2.11
51.5,C,13.42
51.5,P,2.24
52.0,P,2.37
52.5,P,2.5
53.0,P,2.65
53.5,P,2.79
54.0,P,2.95
54.5,P,3.1
55.0,P,3.22
55.5,P,3.4
56.0,C,10.36
56.0,P,3.58
57.0,P,3.94
57.5,C,10.0
57.5,P,4.14
58.0,C,9.15
58.0,P,4.34
58.5,C,8.86
59.0,C,8.58
59.0,P,4.76
59.5,C,8.31
59.5,P,4.97
60.0,C,8.04
60.0,P,5.19
60.5,C,7.78
60.5,P,5.43
61.0,C,7.54
61.0,P,5.66
61.5,C,7.28
61.5,P,5.9
62.0,C,7.04
62.0,P,6.14
62.5,C,6.8
62.5,P,6.4
63.0,C,6.57
63.0,P,6.65
63.5,C,6.35
63.5,P,7.0
64.0,C,6.13
64.0,P,7.27
65.0,C,5.72
65.5,P,8.14
66.0,C,5.33
66.5,C,5.14
67.0,C,4.96
67.5,C,4.79
68.0,C,4.62
68.0,P,9.7
70.0,C,4.31
71.0,C,3.74
71.5,C,3.85
72.0,C,3.72
72.0,P,12.52
72.5,P,12.89
73.0,P,13.27
73.5,C,3.37
74.0,C,3.27
74.0,P,14.05
75.0,C,3.06
75.0,P,14.84
75.5,C,2.77
76.0,C,2.68
76.5,C,2.6
77.0,C,2.52
77.5,C,2.44
77.5,P,16.9
78.5,C,2.3
79.0,P,18.17
79.5,C,2.17
80.0,C,2.11
81.0,C,1.99
81.5,C,1.94
82.0,C,1.89
82.5,C,1.84
84.0,C,1.7
85.0,C,1.62
85.5,C,1.58
86.0,C,1.54
86.5,C,1.5
88.0,C,1.4
90.0,C,1.26
94.0,C,1.09
95.0,C,1.05
97.0,C,0.98
98.5,C,0.93
100.0,C,0.88
102.0,C,0.83
103.0,C,0.8
110.0,C,0.65
111.5,C,0.63
115.0,C,0.57
117.5,C,0.54
