strike,type,premium
20.0,C,0.23
22.5,P,0.22
30.0,P,0.58
32.5,P,0.76
40.0,P,1.64
45.0,P,2.61
50.0,C,14.89
50.0,P,3.94
52.0,P,4.57
53.0,P,4.91
54.5,C,12.03
55.0,C,11.73
55.0,P,5.62
58.0,C,10.03
58.5,C,9.76
59.0,C,9.5
59.5,C,9.24
60.0,C,8.65
60.0,P,7.7
60.5,C,8.73
61.0,C,8.49
62.0,C,8.02
62.5,C,7.79
62.5,P,8.92
63.0,C,7.57
63.0,P,9.18
63.5,C,7.35
64.0,C,7.14
64.5,C,6.93
65.0,C,6.73
65.0,P,10.27
65.5,C,6.53
66.5,C,6.15
67.0,C,5.97
67.5,C,5.79
70.0,C,4.98
70.0,P,13.35
75.0,C,3.71
77.0,C,3.32
80.0,C,2.83
82.0,C,2.56
85.0,C,2.23
90.0,C,1.81
95.0,C,1.52
96.0,C,1.47
98.5,C,1.36
100.0,C,1.3
100.5,C,1.28
105.0,C,1.12
110.0,C,0.98
115.0,C,0.87
120.0,C,0.77
125.0,C,0.69
130.0,C,0.62
132.5,C,0.59
140.0,C,0.52
150.0,C,0.44
160.0,C,0.38
180.0,C,0.29
