strike,type,premium
20.5,P,0.07
24.0,P,0.11
25.0,P,0.12
26.0,P,0.14
27.0,P,0.16
27.5,P,0.17
28.0,P,0.18
32.0,P,0.27
33.0,P,0.31
34.0,P,0.34
34.5,P,0.36
35.0,P,0.38
36.0,P,0.42
37.5,P,0.5
38.0,P,0.52
38.5,P,0.55
39.0,P,0.58
40.0,P,0.65
40.5,P,0.69
42.0,P,0.82
42.5,P,0.87
44.0,P,1.04
45.0,P,1.17
45.5,P,1.24
46.0,P,1.31
47.0,P,1.47
47.5,P,1.56
50.0,C,14.43
50.0,P,2.09
51.0,C,13.7
51.5,P,2.47
52.0,P,2.61
52.5,C,12.63
53.0,P,2.9
54.0,C,11.62
54.0,P,3.21
54.5,P,3.38
55.0,C,10.97
55.0,P,3.55
56.0,P,3.91
56.5,P,4.1
57.0,P,4.29
57.5,C,9.44
57.5,P,4.49
58.0,C,9.16
58.0,P,4.69
58.5,P,4.9
59.0,C,8.6
59.0,P,5.12
59.5,P,5.34
60.0,C,8.07
60.0,P,5.57
60.5,C,7.81
60.5,P,5.8
61.0,C,7.56
61.0,P,6.04
61.5,C,7.31
61.5,P,6.29
62.0,C,7.07
62.0,P,6.54
62.5,C,6.84
63.0,C,6.61
64.0,C,6.17
64.0,P,7.61
64.5,C,5.96
65.0,C,5.76
65.5,C,5.56
66.5,C,5.19
66.5,P,9.08
67.0,C,5.01
67.5,C,4.83
68.0,P,10.04
68.5,C,4.5
69.0,C,4.35
70.0,C,4.05
70.5,C,3.92
71.0,C,3.78
72.0,C,3.53
73.5,C,3.19
74.5,C,2.99
75.0,C,2.89
75.0,P,15.16
76.0,C,2.72
76.5,C,2.63
79.0,C,2.26
80.0,C,2.16
81.0,C,2.02
82.0,C,1.91
82.5,C,1.86
83.0,C,1.81
83.5,C,1.76
84.0,C,1.72
85.0,C,1.63
86.0,C,1.56
86.5,C,1.52
87.0,C,1.49
89.0,C,1.36
90.0,C,1.3
91.0,C,1.25
95.0,C,1.07
97.5,C,0.98
98.0,C,0.97
99.0,C,0.93
99.5,C,0.92
100.0,C,0.91
101.5,C,0.86
102.0,C,0.85
103.5,C,0.81
110.0,C,0.67
116.5,C,0.57
117.5,C,0.56
125.0,C,0.47
130.0,C,0.42
140.0,C,0.35
