strike,type,premium
21.0,P,0.09
27.0,P,0.19
30.0,P,0.27
34.0,P,0.42
34.5,P,0.44
35.0,P,0.47
37.0,P,0.59
39.0,P,0.74
39.5,P,0.79
40.0,P,0.83
40.5,P,0.88
42.0,P,1.05
44.0,P,1.32
44.5,P,1.39
50.0,P,2.53
53.0,P,3.4
54.0,C,11.62
55.0,C,10.99
55.0,P,4.09
57.5,P,5.05
58.0,C,9.22
58.0,P,5.26
58.5,P,5.48
60.0,P,6.15
61.0,C,7.64
62.0,C,7.16
63.0,C,6.7
63.0,P,7.7
64.0,C,6.27
64.5,C,6.06
65.0,C,5.85
67.0,C,5.1
68.0,C,4.75
70.0,C,4.13
70.0,P,11.94
79.0,C,2.31
80.0,C,2.18
80.5,C,2.12
81.0,C,2.07
85.0,C,1.69
86.0,C,1.61
88.0,C,1.48
89.0,C,1.41
90.0,C,1.36
93.0,C,1.2
94.0,C,1.16
98.0,C,1.01
100.0,C,0.95
110.0,C,0.71
120.0,C,0.56
130.0,C,0.45
135.0,C,0.41
